trade,date,time,session,direction,entry,exit,contracts,strategy,confidence,management,notes,account
14,2026-09-11,10:45,RTH,BUY,7678.25,7659.75,4,Breakout,45,Held to SL,SL used was much wider than the planned ~7pt risk,Sim-50K-Flex
15,2026-09-11,10:55,RTH,BUY,7657.75,7677.5,4,Counter-Trend Bounce,40,Held to TP,Held past target to 7677.50 near the old highs,Sim-50K-Flex
16,2026-09-13,19:52,Weekend Reopen,SELL,7620.0,7627.0,4,Resistance / Support Fade,50,Held to SL,"Faded origin of ~65-70pt weekend gap-down, level broke on 3rd test",Sim-50K-Flex
17,2026-09-14,20:00,Overnight/Globex,BUY,7627.5,7627.75,4,Breakout,50,Trailed for Profit,Scratch win right after Trade 16 flipped bias bullish,Sim-50K-Flex
18,2026-09-14,08:40,Pre-Market,SELL,7612.75,7602.5,4,Resistance / Support Fade,50,Trailed for Profit,"Zone A retest-of-broken-support, downtrend resumed",Sim-50K-Flex
19,2026-09-14,09:25,RTH,SELL,7607.5,7600.75,4,Resistance / Support Fade,50,Trailed for Profit,"Retest-of-resistance call on the same 7,596-7,612 range",Sim-50K-Flex
20,2026-09-14,09:55,RTH,SELL,7606.0,7612.0,4,Resistance / Support Fade,50,Held to SL,Fade of the range top; range broke upward instead of holding a 3rd time,Sim-50K-Flex
21,2026-09-14,10:15,RTH,SELL,7617.75,7623.75,4,Resistance / Support Fade,50,Held to SL,Fade attempt one level up; zone kept getting overrun,Sim-50K-Flex
22,2026-09-14,10:20,RTH,BUY,7624.75,7617.0,4,Breakout,50,Held to SL,Breakout right after 2 failed fades; 3rd straight loss in ~35 min chop,Sim-50K-Flex
23,2026-09-14,12:05,RTH,BUY,7631.0,7641.75,4,Pullback / Retest Entry,55,Trailed for Profit,Retest of broken 7627 resistance after strong recovery off the ~7595 low,Sim-50K-Flex
24,2026-09-14,13:15,RTH,BUY,7641.25,7634.25,4,Pullback / Retest Entry,55,Held to SL,Bull-flag pullback broke down through every higher low,Sim-50K-Flex
25,2026-09-15,11:00,RTH,SELL,7656.25,7652.0,4,Resistance / Support Fade,50,Trailed for Profit,Fade-the-bounce after a sharp morning drop,Sim-50K-Flex
26,2026-09-15,12:30,RTH,SELL,7659.25,7649.0,4,Resistance / Support Fade,45,Held to TP,"Fade-the-range-top; range-bound day, TP hit cleanly",Sim-50K-Flex
27,2026-09-15,23:10,Overnight/Globex,SELL,7663.5,7668.0,4,Resistance / Support Fade,45,Held to SL,"Retest-of-prior-resistance fade; level broke, thin liquidity",Sim-50K-Flex
28,2026-09-16,09:00,Pre-Market,BUY,7674.75,7672.0,4,Pullback / Retest Entry,40,Held to SL,Bounce-off-origin call; small tight-stop attempt that didn't hold,Sim-50K-Flex
29,2026-09-16,10:20,RTH,SELL,7683.5,7675.0,4,Resistance / Support Fade,45,Held to TP,Fade-the-retest-of-prior-high; TP hit on the pullback,Sim-50K-Flex
30,2026-09-16,10:30,RTH,BUY,7672.25,7687.75,4,Pullback / Retest Entry,45,Trailed for Profit,Bounce-off-range-low; trailed a long clean move back up,Sim-50K-Flex
31,2026-09-16,11:47,RTH,BUY,7683.0,7695.0,4,Breakout,,Held to TP,Breakout-continuation call right at the day's high; TP hit through the dead zone,Sim-50K-Flex
32,2026-09-16,12:35,RTH,BUY,7682.0,7674.0,4,Counter-Trend Bounce,45,Held to SL,Bounce-off-marked-support right after a sharp spike-and-reject,Sim-50K-Flex
33,2026-09-16,14:25,RTH,BUY,7678.25,7673.0,4,Resistance / Support Fade,40,Held to SL,Fade-the-range-low bounce; the marked range low gave way,Sim-50K-Flex
34,2026-09-16,14:55,RTH,SELL,7674.25,7682.0,4,Resistance / Support Fade,45,Held to SL,Retest-of-breakdown-origin fade after the ~30pt plunge/V-recovery; stopped out immediately,Sim-50K-Flex
35,2026-09-16,15:15,RTH,SELL,7680.25,7606.5,4,Resistance / Support Fade,,Trailed for Profit,"User's own retest-of-origin short, TP dragged well past the 7651 plan; largest single win on the account",Sim-50K-Flex
36,2026-09-16,15:55,RTH,SELL,7601.5,7607.0,4,Resistance / Support Fade,45,Held to SL,Fade-the-bounce call continuing the same afternoon downtrend read as Trade 35; SL held as planned,Sim-50K-Flex
37,2026-09-16,20:20,RTH,BUY,7655.5,7656.25,4,Pullback / Retest Entry,45,Trailed for Profit,"Zone A retest-of-breakout continuation call; the strong uptrend after Trade 36 kept extending, dragged for a small scratch win",Sim-50K-Flex
38,2026-09-20,21:47,Overnight/Globex,SELL,7740.50,7743.50,3,Unclassified,,Early Exit,"From real Tradovate order log; manually closed, no stop/limit hit",Eval-150K-Select
39,2026-09-21,11:53,RTH,BUY,7806.00,7817.75,3,Unclassified,,Stop Exit (Profit),"From real Tradovate order log; closed via a sell-stop placed above entry",Eval-150K-Select
40,2026-09-21,12:57,RTH,SELL,7818.75,7825.00,3,Unclassified,,Held to SL,From real Tradovate order log,Eval-150K-Select
41,2026-09-21,13:57,RTH,BUY,7826.00,7839.75,2,Unclassified,,Stop Exit (Profit),"From real Tradovate order log; closed via a sell-stop placed above entry",Eval-150K-Select
42,2026-09-21,15:15,RTH,SELL,7842.00,7845.00,3,Unclassified,,Held to SL,From real Tradovate order log,Eval-150K-Select
43,2026-09-21,18:23,Overnight/Globex,BUY,7832.25,7834.00,4,Unclassified,,Early Exit,"From real Tradovate order log; manually closed, no stop/limit hit",Eval-150K-Select
44,2026-09-21,20:13,Overnight/Globex,BUY,7838.00,7832.50,4,Unclassified,,Held to SL,From real Tradovate order log,Eval-150K-Select
45,2026-09-22,09:55,RTH,BUY,7836.75,7839.75,3,Unclassified,,Stop Exit (Profit),"From real Tradovate order log; closed via a sell-stop placed above entry",Eval-150K-Select
46,2026-09-22,10:17,RTH,BUY,7836.50,7831.50,3,Unclassified,,Held to SL,From real Tradovate order log,Eval-150K-Select
47,2026-09-22,10:32,RTH,SELL,7834.75,7834.00,3,Unclassified,,Stop Exit (Profit),"From real Tradovate order log; scratch win, closed via a buy-stop just below entry",Eval-150K-Select
48,2026-09-22,10:41,RTH,BUY,7832.25,7824.75,3,Unclassified,,Held to SL,From real Tradovate order log,Eval-150K-Select
49,2026-09-22,23:30,Overnight/Globex,SELL,7834.25,7843.00,2,Resistance / Support Fade,55,Held to SL,"Claude's Zone A SELL 7,836 call (rejection of a 3x-tested resistance cluster); user widened stop from the recommended 7839.5 to 7843 after sizing pushback",Eval-150K-Select
50,2026-09-23,07:32,Pre-Market,SELL,7825.00,7811.00,2,Unclassified,,Held to TP,"From real Tradovate order log; Claude described structure only, gave no entry/SL/TP",Eval-150K-Select
51,2026-09-23,11:51,RTH,SELL,7777.50,7767.75,2,No-Confirmation Entry,,Early Exit,"User entered against 4 explicit no-trade calls (dead zone, no reaction candle); closed early for +$975, short of the working TP at 7761.25 -- exit price back-calculated from reported P&L, not read off a screenshot",Eval-150K-Select
